collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
59373	ETE	"M. Carrano"		Troodon	cf.	formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	73.9	73.7	"Two Medicine"
59386	ETE	"M. Carrano"		Troodon	cf.	formosus		Troodon		sp.	"ANSP 9259"	"Russian Federation"	Chukot	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Kakanaut
59410	ETE	"M. Carrano"	"n. gen."	Bradycneme	"n. sp."	draculae					"BMNH A.1588"	Romania	"Judetul Covurlui"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Sânpetru
59410	ETE	"M. Carrano"	cf.	Euronychodon		sp.						Romania	"Judetul Covurlui"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Sânpetru
59410	ETE	"M. Carrano"	"n. gen."	Heptasteornis	"n. sp."	andrewsi	?	Elopteryx		nopcsai	"BMNH A.4359"	Romania	"Judetul Covurlui"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Sânpetru
60518	ETE	"M. Carrano"		Troodon		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
60563	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
61321	ETE	"M. Carrano"	cf.	Euronychodon		sp.	cf.	Paronychodon		sp.		Spain	"Castilla y Leon"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Calizas de Lychnus"
61470	ETE	"M. Carrano"		Troodon		formosus		Saurornithoididae		indet.	"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
64324	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
64325	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
64326	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
64327	ETE	"M. Carrano"	"n. gen."	Troodon	"n. sp."	formosus	"n. gen."	Polyodontosaurus	"n. sp."	grandis	"NMC 8540"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
64643	ETE	"M. Carrano"	?	Troodon	?	formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
64684	ETE	"M. Carrano"		Pectinodon	"n. sp."	asiamericanus					"CCMGE 49/12176"	Uzbekistan	Navoi	Cretaceous	"Late/Upper Cretaceous"	Cenomanian	99.700	94.300	Khodzhakul
67611	ETE	"M. Carrano"	"n. gen."	Jianianhualong	"n. sp."	tengi					"DLXH 1218"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	122.460	Yixian
67818	ETE	"M. Carrano"		Euronychodon		sp.						Romania	Hunedoara	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Densus-Ciula
67874	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
