collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
28765	Fossilworks	"J. Alroy"	?	Pyroraptor		olympius					"MNHN BO001"	Spain	"Castilla y Leon"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Vitoria
28765	Fossilworks	"J. Alroy"	?	Richardoestesia		sp.						Spain	"Castilla y Leon"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Vitoria
28995	Fossilworks	"J. Alroy"	cf.	Nuthetes		destructor					"DORCM G913"	"United Kingdom"	England	Cretaceous	"Early/Lower Cretaceous"	Berriasian	145.500	140.200	Lulworth
34305	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
34307	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
34309	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
34315	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
34320	Fossilworks	"J. Alroy"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
34744	ETE	"M. Carrano"		Richardoestesia	cf.	gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
34746	PaleoDB	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Cloverly
36269	Fossilworks	"J. Alroy"	cf.	Saurornitholestes		sp.						"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.4	78.2	Kirtland
36608	PaleoDB	"M. Carrano"		Saurornitholestes		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.0	75.3	"Two Medicine"
36727	PaleoDB	"M. Carrano"	?	Richardoestesia		sp.	?	Dromaeosaurinae	informal	"indet. 4"		Spain	Cataluña	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"La Posa"
36727	PaleoDB	"M. Carrano"	?	Pyroraptor		olympius		Dromaeosauridae	informal	"indet. 3"	"MNHN BO001"	Spain	Cataluña	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"La Posa"
36728	PaleoDB	"M. Carrano"	?	Richardoestesia		sp.		Dromaeosauridae	informal	"indet. 4"		Spain	Cataluña	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"La Posa"
36731	PaleoDB	"M. Carrano"	cf.	Richardoestesia		sp.						Spain	Cataluña	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"La Posa"
37184	Fossilworks	"J. Alroy"		Velociraptor		mongoliensis					"AMNH 6515"	Mongolia	"Omnogov Aimak"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
